user_loc,fr_loc,scaled_sci,region
BG,SG,1144,Europe
BG,SI,12993,Europe
BG,SK,13949,Europe
BG,SL,835,Europe
BG,SN,413,Europe
BG,SR,720,Europe
BG,ST,373,Europe
BG,SV,490,Europe
BG,SZ,257,Europe
BG,TD,352,Europe
BG,TG,781,Europe
BG,TH,245,Europe
BG,TJ,2090,Europe
BG,TL,257,Europe
BG,TN,1209,Europe
BG,TO,312,Europe
BG,TR,12226,Europe
BG,TT,743,Europe
BG,TW,290,Europe
BG,TZ,594,Europe
BG,UA,8611,Europe
BG,UG,788,Europe
BG,US,2101,Europe
BG,UY,723,Europe
BG,UZ,1756,Europe
BG,VC,806,Europe
BG,VN,301,Europe
BG,VU,330,Europe
BG,WS,201,Europe
BG,XK,7279,Europe
BG,YT,388,Europe
BG,ZA,401,Europe
BG,ZM,393,Europe
BG,ZW,419,Europe
BY,AE,3559,Europe
BY,AG,425,Europe
BY,AL,2763,Europe
BY,AM,18019,Europe
BY,AO,1052,Europe
BY,AR,705,Europe
BY,AT,4669,Europe
BY,AU,1051,Europe
BY,AW,523,Europe
BY,AZ,18325,Europe
BY,BA,2231,Europe
BY,BB,552,Europe
BY,BD,489,Europe
BY,BE,3426,Europe
BY,BF,795,Europe
BY,BG,8862,Europe
BY,BH,2245,Europe
BY,BI,537,Europe
BY,BJ,2022,Europe
BY,BN,515,Europe
BY,BO,363,Europe
BY,BR,441,Europe
BY,BS,412,Europe
BY,BT,275,Europe
BY,BW,553,Europe
BY,BY,4178093,Europe
BY,BZ,471,Europe
BY,CA,1674,Europe
BY,CD,4951,Europe
BY,CF,1425,Europe
BY,CG,4611,Europe
BY,CH,4541,Europe
BY,CI,1768,Europe
BY,CL,614,Europe
BY,CM,4009,Europe
BY,CO,425,Europe
BY,CR,709,Europe
BY,CV,482,Europe
BY,CW,649,Europe
BY,CY,24395,Europe
BY,CZ,7821,Europe
BY,DE,5055,Europe
BY,DJ,692,Europe
BY,DK,2369,Europe
BY,DO,819,Europe
BY,DZ,2259,Europe
BY,EC,707,Europe
BY,EE,26277,Europe
BY,EG,1973,Europe
BY,ES,3142,Europe
BY,ET,530,Europe
BY,FI,4014,Europe
BY,FJ,334,Europe
BY,FM,209,Europe
BY,FR,2086,Europe
BY,GA,1016,Europe
BY,GB,2026,Europe
BY,GD,559,Europe
BY,GE,24100,Europe
BY,GF,449,Europe
BY,GH,1776,Europe
BY,GM,6542,Europe
BY,GN,3465,Europe
BY,GP,662,Europe
BY,GQ,1749,Europe
BY,GR,3892,Europe
BY,GT,236,Europe
BY,GU,412,Europe
BY,GW,891,Europe
BY,GY,436,Europe
BY,HK,623,Europe
BY,HN,256,Europe
BY,HR,2964,Europe
BY,HT,430,Europe
BY,HU,2349,Europe
BY,ID,283,Europe
BY,IE,3352,Europe
BY,IM,1531,Europe
BY,IN,320,Europe
BY,IS,3501,Europe
BY,IT,5013,Europe
BY,JE,2284,Europe
BY,JM,578,Europe
BY,JO,1773,Europe
BY,JP,702,Europe
BY,KE,735,Europe
BY,KG,10160,Europe
BY,KH,214,Europe
BY,KI,279,Europe
BY,KM,255,Europe
BY,KR,812,Europe
BY,KW,1318,Europe
BY,KY,815,Europe
BY,KZ,13806,Europe
BY,LA,164,Europe
BY,LB,10491,Europe
BY,LC,819,Europe
BY,LK,5318,Europe
BY,LR,2376,Europe
BY,LS,158,Europe
BY,LT,59070,Europe
BY,LU,7409,Europe
BY,LV,53829,Europe
BY,LY,1366,Europe
BY,MA,2587,Europe
BY,MD,19671,Europe
BY,ME,23293,Europe
BY,MG,576,Europe
BY,MK,6655,Europe
BY,ML,984,Europe
BY,MM,109,Europe
BY,MN,1545,Europe
BY,MO,1056,Europe
BY,MQ,449,Europe
BY,MR,667,Europe
BY,MT,6397,Europe
BY,MU,1094,Europe
BY,MV,7264,Europe
BY,MW,349,Europe
BY,MX,421,Europe
BY,MY,404,Europe
BY,MZ,570,Europe
BY,,636,Europe
BY,NC,422,Europe
BY,NE,650,Europe
BY,NG,1369,Europe
BY,NI,368,Europe
BY,NL,3372,Europe
BY,NO,3339,Europe
BY,NP,265,Europe
BY,NZ,851,Europe
BY,OM,1073,Europe
BY,PA,474,Europe
BY,PE,599,Europe
BY,PF,467,Europe
BY,PG,269,Europe
BY,PH,368,Europe
BY,PK,1051,Europe
BY,PL,17823,Europe
BY,PR,478,Europe
BY,PT,2242,Europe
BY,PY,427,Europe
BY,QA,1904,Europe
BY,RE,455,Europe
BY,RO,2150,Europe
BY,RS,6958,Europe
BY,RW,760,Europe
BY,SA,895,Europe
BY,SB,150,Europe
