,scaled_sci,user,friend
785,1715,AGO,DZA
786,1414,AGO,ECU
787,204,AGO,EST
788,1258,AGO,EGY
789,1464,AGO,ESP
790,3278,AGO,ETH
791,798,AGO,FIN
792,1493,AGO,FJI
793,386,AGO,FSM
794,6062,AGO,FRA
795,37827,AGO,GAB
796,3015,AGO,GBR
797,5182,AGO,GRD
798,497,AGO,GEO
799,8289,AGO,GUF
800,14043,AGO,GHA
801,35052,AGO,GMB
802,86428,AGO,GIN
803,3178,AGO,GLP
804,40187,AGO,GNQ
805,3534,AGO,GRC
806,1044,AGO,GTM
807,397,AGO,GUM
808,343468,AGO,GNB
809,4893,AGO,GUY
810,236,AGO,HKG
811,1887,AGO,HND
812,368,AGO,HRV
813,15809,AGO,HTI
814,526,AGO,HUN
815,755,AGO,IDN
816,1661,AGO,IRL
817,223,AGO,IMN
818,807,AGO,IND
819,1037,AGO,ISL
820,1095,AGO,ITA
821,2432,AGO,JEY
822,8265,AGO,JAM
823,896,AGO,JOR
824,208,AGO,JPN
825,18738,AGO,KEN
826,304,AGO,KGZ
827,340,AGO,KHM
828,2649,AGO,KIR
829,5918,AGO,COM
830,242,AGO,KOR
831,1190,AGO,KWT
832,2307,AGO,CYM
833,506,AGO,KAZ
834,258,AGO,LAO
835,5069,AGO,LBN
836,4044,AGO,LCA
837,1176,AGO,LKA
838,31446,AGO,LBR
839,13237,AGO,LSO
840,238,AGO,LTU
841,11373,AGO,LUX
842,315,AGO,LVA
843,1579,AGO,LBY
844,2476,AGO,MAR
845,341,AGO,MDA
846,631,AGO,MNE
847,14281,AGO,MDG
848,611,AGO,MKD
849,30127,AGO,MLI
850,189,AGO,MMR
851,262,AGO,MNG
852,1201,AGO,MAC
853,2223,AGO,MTQ
854,55699,AGO,MRT
855,1131,AGO,MLT
856,1931,AGO,MUS
857,1310,AGO,MDV
858,13172,AGO,MWI
859,1020,AGO,MEX
860,429,AGO,MYS
861,779423,AGO,MOZ
862,567348,AGO,NULL
863,537,AGO,NCL
864,12845,AGO,NER
865,6228,AGO,NGA
866,2399,AGO,NIC
867,2039,AGO,NLD
868,943,AGO,NOR
869,417,AGO,NPL
870,235,AGO,NZL
871,1755,AGO,OMN
872,2040,AGO,PAN
873,1120,AGO,PER
874,281,AGO,PYF
875,9110,AGO,PNG
876,1158,AGO,PHL
877,1826,AGO,PAK
878,361,AGO,POL
879,757,AGO,PRI
880,105487,AGO,PRT
881,3363,AGO,PRY
882,2063,AGO,QAT
883,1396,AGO,REU
884,849,AGO,ROU
