iso_o,dist
CV_BR,4964.447
CV_BB,3901.328
CV_BN,14948.48
CV_BT,11426.51
CV_BW,6946.353
CV_CF,4757.679
CV_CA,6150.237
CV_CH,4570.96
CV_CL,7352.624
CV_CI,2384.485
CV_CM,4029.85
CV_CG,4773.068
CV_CO,5756.541
CV_CR,6587.105
CR_AW,1550.772
CR_AO,10980.7
CR_AL,10418.61
CR_AE,14115.79
CR_AR,5653.427
CR_AM,12346.34
CR_AG,2531.254
CR_AU,13829.48
CR_AT,9950.39
CR_AZ,12700.44
CR_BI,12643.79
CR_BE,9046.46
CR_BJ,9521.273
CR_BF,8964.563
CR_BD,16236.3
CR_BG,10647.12
CR_BH,13692.77
CR_BS,1825.164
CR_BA,10230.87
CR_BY,10486.5
CR_BZ,953.8871
CR_BO,3428.308
CR_BR,5523.376
CR_BB,2687.524
CR_BN,17348.79
CR_BT,15805.36
CR_BW,12490.49
CR_CF,11316.32
CR_CA,3774.394
CR_CH,9319.896
CR_CL,5043.452
CR_CI,8827.081
CR_CM,10552.99
CR_CG,11116.14
CR_CO,1157.984
KY_AW,1421.378
KY_AO,10823.14
KY_AL,9502.166
KY_AE,13202.14
KY_AR,6476.053
KY_AM,11362.05
KY_AG,2079.72
KY_AU,14619.49
KY_AT,8981.539
KY_AZ,11695.69
KY_BI,12313.79
KY_BE,8069.901
KY_BJ,9143.72
KY_BF,8502.926
KY_BD,15164.94
KY_BG,9710.132
KY_BH,12787.33
KY_BS,767.0014
KY_BA,9294.602
KY_BY,9463.383
KY_BZ,817.3775
KY_BO,4238.853
KY_BR,6079.042
KY_BB,2424.176
KY_BN,16796.14
KY_BT,14734.45
KY_BW,12594.3
KY_CF,10900.73
KY_CA,2716.584
KY_CH,8373.751
KY_CL,5985.788
KY_CI,8496.598
KY_CM,10179.24
KY_CG,10866.63
KY_CO,1770.522
KY_KM,14059.82
KY_CV,6149.743
KY_CR,1076.341
KY_CY,10864.95
KY_CZ,8783.569
KY_DE,8238.333
KY_DJ,13048.15
KY_DK,8496.935
KY_DO,1224.471
KY_DZ,8259.773
KY_EC,2196.719
KY_EG,10969.87
KY_ES,7615.294
KY_EE,9049.646
KY_ET,12760.54
KY_FI,9030.632
KY_FJ,11705.43
KY_FR,7960.709
KY_FM,12878.64
KY_GA,10086.86
KY_GB,7747.743
KY_GE,11275.86
KY_GH,8883.8
KY_GN,7124.495
KY_GP,2114.889
KY_GM,6905.843
KY_GW,7057.768
KY_GQ,9898.288
KY_GR,9956.139
KY_GD,2251.931
KY_GT,1101.942
KY_GF,3532.759
KY_GY,2872.175
KY_HK,15108.69
KY_HN,851.8792
KY_HR,9038.867
KY_HT,956.3452
KY_HU,9197.06
KY_ID,18324.11
KY_IN,14225.51
KY_IE,7324.933
KY_IS,6627.641
KY_IT,8907.688
KY_JM,505.6215
KY_JO,11252.88
KY_JP,12535.78
KY_KE,13018.68
KY_KG,12686.68
KY_KH,16527.81
KY_KI,11586.4
KY_KR,13047.52
KY_KW,12366.39
CY_AW,10403.22
CY_AO,5332.035
CY_AL,1366.294
CY_AE,2348.921
CY_AR,12291.57
CY_AM,1129.579
CY_AG,9384.479
CY_AU,14426.82
CY_AT,2017.949
CY_AZ,1563.325
CY_BI,4307.533
CY_BE,2904.975
CY_BJ,4493.079
CY_BF,4340.528
CY_BD,5596.493
CY_BG,1205.622
CY_BH,1926.81
CY_BS,10128.48
CY_BA,1602.664
CY_BY,2130.692
CY_BZ,11596.67
CY_BO,12094.34
CY_BR,10651.9
CY_BB,9446.887
CY_BN,8938.696
CY_BT,5357.479
CY_BW,6712.723
CY_CF,3745.057
CY_CA,8935.357
CY_CH,2523.252
CY_CL,13230.7
CY_CI,5068.75
CY_CM,4146.538
CY_CG,4775.192
CY_CO,11372.43
CY_CV,6069.374
CY_CR,11766.86
CZ_AW,8560.899
CZ_AO,6560.238
CZ_AL,1060.922
CZ_AE,4461.374
CZ_AR,11836.83
CZ_AM,2582.411
CZ_AG,7589.502
CZ_AU,16097.52
CZ_AT,252.4479
CZ_AZ,2948.413
CZ_BI,6119.657
CZ_BE,718.4293
CZ_BJ,4989.285
CZ_BF,4453.064
CZ_BD,7032.401
CZ_BG,1069.866
CZ_BH,4069.985
CZ_BS,8024.927
CZ_BA,757.0533
CZ_BY,986.366
CZ_BZ,9462.64
CZ_BO,10904.1
CZ_BR,10155.45
CZ_BB,7766.896
CZ_BN,10341.36
CZ_BT,6686.705
CZ_BW,8407.657
CZ_CF,5103.389
CZ_CA,6687.748
CZ_CH,623.4171
CZ_CL,12487.06
CZ_CI,5274.965
CZ_CM,5154.902
CZ_CG,6047.745
CZ_CO,9585.834
CZ_CV,5192.94
CZ_CR,9764.202
CZ_CY,2260.553
DE_AW,8034.389
DE_AO,6738.352
DE_AL,1493.096
DE_AE,5004.562
DE_AR,11512.14
DE_AM,3126.056
DE_AG,7071.959
DE_AU,16562.72
DE_AT,763.7314
DE_AZ,3485.098
DE_BI,6459.994
DE_BE,196.8761
DE_BJ,5032.831
DE_BF,4425.02
DE_BD,7530.185
DE_BG,1571.797
DE_BH,4610.664
DE_BS,7479.404
DE_BA,1202.42
DE_BY,1405.056
DE_BZ,8917.346
DE_BO,10457.82
DE_BR,9847.663
DE_BB,7264.996
DE_BN,10811.99
DE_BT,7174.233
DE_BW,8683.136
DE_CF,5350.604
DE_CA,6160.559
DE_CH,503.8007
DE_CL,12098.41
DE_CI,5236.513
DE_CM,5316.503
DE_CG,6248.905
DE_CO,9062.736
DE_CV,4889.913
DE_CR,9221.746
DE_CY,2776.08
DE_CZ,545.6255
DJ_AW,12186.87
DJ_AO,4015.184
DJ_AL,4015.761
DJ_AE,1861.231
DJ_AR,11807.19
DJ_AM,3184.07
DJ_AG,11189.11
DJ_AU,12390.16
DJ_AT,4774.016
DJ_AZ,3269.271
DJ_BI,2262.605
DJ_BE,5604.231
DJ_BJ,4500.04
DJ_BF,4874.626
DJ_BD,5160.373
DJ_BG,3954.9
DJ_BH,1804.659
DJ_BS,12398.33
DJ_BA,4302.767
DJ_BY,4902.157
DJ_BZ,13853.38
DJ_BO,12631.02
DJ_BR,10507.34
DJ_BB,11075.64
DJ_BN,7927.339
DJ_BT,5162.901
DJ_BW,4457.624
DJ_CF,2818.582
DJ_CA,11577.94
DJ_CH,5162.157
DJ_CL,12928.21
DJ_CI,5233.239
DJ_CM,3590.317
DJ_CG,3557.617
DJ_CO,12960.63
DJ_CV,7204.088
DJ_CR,13720.32
DJ_CY,2801.785
DJ_CZ,5024.509
DJ_DE,5505.173
DK_AW,8408.59
DK_AO,7179.064
DK_AL,1679.912
DK_AE,4849.585
DK_AR,12089.47
DK_AM,2897.109
DK_AG,7475.542
DK_AU,16054.1
